127.0.0.1 - - [18/May/2020:09:31:39 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/index.html HTTP/1.1" 200 29453
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/js/core.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/images/logo-inverse-208x46.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/images/landing-private-airlines-01-570x370.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/images/landing-private-airlines-02-570x370.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/images/landing-private-airlines-03-570x370.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2020:09:31:40 +0900] "GET /web/PORTFOLIO/team/site/images/landing-private-airlines-04-570x370.jpg HTTP/1.1" 304 -
